AMTemp1(℃),EacToday(kWh)
57.6,203.1
58.2,209.1
58.7,215.2
59.1,221.5
59.5,227.8
59.8,234.1
60.2,240.2
60.3,246.6
60.7,252.9
61.0,259.1
61.3,265.4
61.5,271.6
61.8,278.1
62.0,284.3
61.9,290.4
62.0,296.7
62.2,303.0
62.4,309.3
62.5,315.5
62.4,321.8
62.4,327.9
62.5,334.1
62.4,340.1
62.3,346.1
62.3,352.2
62.4,358.2
62.3,364.2
62.1,369.8
61.8,375.7
61.6,381.4
61.5,387.2
61.4,392.5
61.2,398.1
61.1,403.4
61.0,408.6
60.7,413.8
60.2,419.1
59.8,424.0
59.3,428.9
58.6,433.7
58.2,438.6
57.6,443.3
57.3,447.9
57.0,452.4
56.5,456.8
56.2,461.0
55.7,465.1
55.2,469.1
54.7,473.0
54.2,476.7
53.5,480.5
53.1,483.9
52.9,487.5
52.5,490.6
52.0,493.8
51.5,496.9
51.0,499.7
50.2,502.5
49.4,505.2
48.7,507.6
48.3,509.9
48.0,512.0
48.5,514.0
49.3,516.1
50.0,517.8
48.2,519.3
48.2,520.8
49.0,522.1
49.7,523.2
48.7,524.2
48.0,525.2
48.6,526.0
49.2,526.6
49.8,527.1
48.0,527.6
47.8,527.9
48.4,528.2
48.9,528.4
49.2,528.5
49.5,528.6
49.7,528.7
49.8,528.7
49.9,528.7
49.9,528.7
49.9,528.7
49.9,528.7
49.9,528.7
29.5,0.0
60.5,328.3
30.8,0.1
31.5,0.2
32.3,0.4
33.0,0.6
33.6,0.9
33.8,1.3
34.5,1.8
35.1,2.3
35.8,3.0
36.5,3.8
37.2,4.7
37.9,5.7
38.8,6.8
39.6,8.1
40.2,9.4
40.8,11.1
41.1,12.8
41.5,14.8
41.7,16.1
42.2,18.4
42.5,20.9
42.8,23.3
43.0,26.0
43.5,28.8
44.0,31.7
44.6,34.8
45.1,37.9
45.8,41.3
46.3,44.7
47.0,48.2
47.6,51.9
48.4,55.6
49.2,59.5
48.5,63.6
44.7,67.8
44.1,72.1
44.4,76.6
44.8,81.3
45.3,85.9
45.9,90.7
46.5,95.7
47.3,100.7
48.0,105.8
48.7,110.7
49.3,116.0
50.0,121.3
50.8,126.5
51.3,132.0
51.8,137.3
52.4,142.8
